sample_id	map_step	Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
SRR5679908	genome	Dec 16 05:54:01	Dec 16 05:55:05	Dec 16 08:29:52	8.58	22138932	273	11143407	50.33%	274.07	8552580	8339035	8382467	58748	7183	104182	0.47%	0.01%	1.44	0.01%	1.27	3234624	14.61%	504492	2.28%	0.00%	31.18%	1.59%	0	0.00%
SRR5679908	circRNA	Dec 19 01:01:38	Dec 19 01:01:40	Dec 19 08:56:48	0.98	7761231	272	75835	0.98%	251.31	5096	0	1273	264	2	3557	0.51%	0.02%	2.18	0.03%	2.45	18959	0.24%	722	0.01%	0.00%	98.76%	0.01%	0	0.00%
SRR5679909	rRNA	Dec 14 13:56:10	Dec 14 13:56:10	Dec 15 13:46:15	1.20	28554005	269	2965	0.01%	172.01	1796	0	893	105	0	798	1.49%	0.06%	1.97	0.06%	1.81	2753116	9.64%	52993	0.19%	0.00%	11.68%	78.48%	0	0.00%
SRR5679909	genome	Dec 16 05:46:04	Dec 16 05:47:10	Dec 16 08:11:45	10.71	25797952	271	5910445	22.91%	275.53	5090352	4979888	5003636	35603	4206	46907	0.41%	0.01%	1.44	0.01%	1.37	2028733	7.86%	294201	1.14%	0.00%	67.29%	0.80%	0	0.00%
SRR5679909	circRNA	Dec 19 06:44:23	Dec 19 06:44:25	Dec 19 11:02:58	4.14	17858966	271	42242	0.24%	249.13	2822	0	616	211	0	1995	0.44%	0.03%	3.77	0.02%	2.28	11790	0.07%	348	0.00%	0.00%	99.69%	0.00%	0	0.00%
SRR5687235	rRNA	Dec 14 18:00:28	Dec 14 18:00:28	Dec 15 03:52:56	1.38	13668565	260	5113	0.04%	221.61	1148	0	115	57	0	976	0.76%	0.11%	2.01	0.13%	3.59	1363849	9.98%	49372	0.36%	0.00%	8.33%	81.29%	0	0.00%
SRR5687235	genome	Dec 17 14:55:46	Dec 17 14:56:26	Dec 17 15:03:46	100.63	12299623	267	10274438	83.53%	268.41	6592589	6393969	6472987	46132	6086	67384	0.41%	0.01%	1.53	0.02%	1.29	1176815	9.57%	55227	0.45%	0.00%	6.41%	0.04%	0	0.00%
SRR5687235	circRNA	Dec 19 08:01:54	Dec 19 08:01:56	Dec 19 08:12:03	5.03	848608	237	72260	8.52%	249.23	5812	0	1135	281	31	4365	0.49%	0.02%	2.44	0.02%	1.81	18901	2.23%	815	0.10%	0.00%	89.14%	0.03%	0	0.00%
SRR5687236	rRNA	Dec 14 13:56:08	Dec 14 13:56:09	Dec 14 17:42:58	3.16	11947765	262	4306	0.04%	182.05	363	0	112	11	0	240	0.60%	0.12%	3.10	0.05%	3.09	1642182	13.74%	70838	0.59%	0.00%	5.77%	79.85%	0	0.00%
SRR5687236	genome	Dec 17 15:22:05	Dec 17 15:22:45	Dec 17 15:31:57	67.18	10301296	272	7667350	74.43%	274.67	6958926	6779088	6830604	48347	5870	74105	0.38%	0.01%	1.50	0.01%	1.35	1192789	11.58%	88412	0.86%	0.00%	13.08%	0.06%	0	0.00%
SRR5687236	circRNA	Dec 19 07:06:52	Dec 19 07:06:53	Dec 19 07:30:58	3.59	1441361	260	71084	4.93%	253.03	5183	0	1189	215	16	3763	0.47%	0.02%	2.13	0.03%	2.14	19751	1.37%	888	0.06%	0.00%	93.62%	0.01%	0	0.00%
SRR5687237	rRNA	Dec 13 22:53:03	Dec 13 22:53:03	Dec 14 07:40:04	2.33	20490319	263	5912	0.03%	210.84	876	0	170	38	0	668	0.74%	0.23%	3.46	0.10%	4.44	1799330	8.78%	61654	0.30%	0.00%	8.05%	82.84%	0	0.00%
SRR5687237	genome	Dec 16 03:42:30	Dec 16 03:44:36	Dec 16 04:06:39	50.84	18685122	269	14799349	79.20%	271.48	11073545	10781760	10863594	73678	10002	126271	0.42%	0.01%	1.51	0.01%	1.28	2010565	10.76%	79000	0.42%	0.00%	9.57%	0.04%	0	0.00%
SRR5687237	circRNA	Dec 19 06:31:15	Dec 19 06:31:17	Dec 19 06:43:17	9.38	1875629	242	137700	7.34%	241.74	7909	0	1883	334	57	5635	0.47%	0.02%	2.34	0.02%	1.95	40087	2.14%	1060	0.06%	0.00%	90.45%	0.01%	0	0.00%
SRR5687238	rRNA	Dec 14 13:56:08	Dec 14 13:56:09	Dec 14 18:34:24	3.12	14466230	260	3866	0.03%	183.48	747	0	206	15	1	525	0.68%	0.09%	2.11	0.04%	3.18	2611596	18.05%	81652	0.56%	0.00%	9.25%	72.10%	0	0.00%
SRR5687238	genome	Dec 17 15:04:21	Dec 17 15:05:03	Dec 17 15:15:03	71.10	11850823	268	8793023	74.20%	272.70	8768047	8578877	8624595	60003	7491	75958	0.40%	0.02%	1.80	0.01%	1.34	1632649	13.78%	97716	0.82%	0.00%	11.14%	0.07%	0	0.00%
SRR5687238	circRNA	Dec 19 03:48:38	Dec 19 03:48:41	Dec 19 04:29:31	2.09	1425384	247	109880	7.71%	240.60	6566	0	1438	220	40	4868	0.45%	0.02%	2.43	0.02%	1.85	32864	2.31%	737	0.05%	0.00%	89.92%	0.02%	0	0.00%
SRR5687239	rRNA	Dec 16 10:59:04	Dec 16 10:59:04	Dec 16 12:45:41	4.61	8184364	270	2937	0.04%	212.05	267	0	78	4	0	185	0.66%	0.12%	2.64	0.13%	4.17	1075645	13.14%	25454	0.31%	0.00%	5.32%	81.19%	0	0.00%
SRR5687239	genome	Dec 17 15:39:28	Dec 17 15:40:07	Dec 17 15:46:02	72.06	7105801	278	5798811	81.61%	280.06	5656814	5536752	5564505	39632	4774	47903	0.37%	0.01%	1.59	0.01%	1.32	696664	9.80%	35599	0.50%	0.00%	8.04%	0.05%	0	0.00%
SRR5687239	circRNA	Dec 19 08:04:00	Dec 19 08:04:02	Dec 19 08:14:43	3.43	610470	258	45020	7.37%	245.62	2844	0	555	82	14	2193	0.49%	0.02%	2.17	0.02%	1.97	13333	2.18%	608	0.10%	0.00%	90.31%	0.03%	0	0.00%
SRR5687240	rRNA	Dec 16 10:59:23	Dec 16 10:59:23	Dec 16 11:52:42	6.37	5658080	279	783	0.01%	148.38	115	0	62	4	0	49	1.15%	0.07%	2.27	0.03%	2.82	496879	8.78%	11909	0.21%	0.00%	2.95%	88.04%	0	0.00%
SRR5687240	genome	Dec 17 15:41:26	Dec 17 15:42:07	Dec 17 15:52:00	31.33	5160427	283	3375878	65.42%	283.45	3828225	3736108	3754173	25623	3277	45152	0.35%	0.01%	1.64	0.01%	1.38	519895	10.07%	38243	0.74%	0.00%	23.58%	0.19%	0	0.00%
SRR5687240	circRNA	Dec 19 06:59:10	Dec 19 06:59:11	Dec 19 07:32:58	2.25	1264770	279	33246	2.63%	264.77	2693	0	488	103	9	2093	0.43%	0.03%	2.72	0.03%	1.73	7041	0.56%	204	0.02%	0.00%	96.78%	0.01%	0	0.00%
SRR5687241	rRNA	Dec 16 10:58:11	Dec 16 10:58:11	Dec 16 13:37:13	4.07	10783325	276	898	0.01%	187.75	124	0	30	4	0	90	0.69%	0.11%	2.12	0.04%	2.27	788913	7.32%	17735	0.16%	0.00%	4.03%	88.48%	0	0.00%
SRR5687241	genome	Dec 17 15:33:09	Dec 17 15:33:53	Dec 17 15:40:42	87.96	9993529	279	8243135	82.48%	278.14	5883590	5675080	5769826	39059	5882	68823	0.42%	0.01%	1.48	0.01%	1.26	843637	8.44%	22910	0.23%	0.00%	8.82%	0.03%	0	0.00%
SRR5687241	circRNA	Dec 19 06:24:43	Dec 19 06:24:45	Dec 19 06:34:31	5.57	906947	270	47322	5.22%	267.91	3836	0	831	154	32	2819	0.39%	0.02%	2.44	0.03%	2.13	8737	0.96%	363	0.04%	0.00%	93.76%	0.02%	0	0.00%
SRR5687242	rRNA	Dec 14 18:03:55	Dec 14 18:03:55	Dec 14 23:24:06	2.55	13601575	264	9472	0.07%	168.80	663	0	130	14	0	519	1.11%	0.16%	2.32	0.22%	5.65	969097	7.12%	43175	0.32%	0.00%	7.24%	85.25%	0	0.00%
SRR5687242	genome	Dec 17 14:46:59	Dec 17 14:47:44	Dec 17 14:55:07	102.58	12623034	269	10358285	82.06%	271.29	5524478	5346870	5416372	38182	4946	64978	0.41%	0.01%	1.54	0.02%	1.30	1283716	10.17%	65021	0.52%	0.00%	7.21%	0.05%	0	0.00%
SRR5687242	circRNA	Dec 19 07:50:22	Dec 19 07:50:24	Dec 19 08:00:47	5.67	981869	238	77249	7.87%	233.10	5061	0	1235	178	12	3636	0.56%	0.02%	2.47	0.02%	2.03	23704	2.41%	959	0.10%	0.00%	89.59%	0.03%	0	0.00%
SRR5687243	rRNA	Dec 14 13:56:08	Dec 14 13:56:09	Dec 15 00:00:07	1.56	15712230	259	3437	0.02%	148.44	449	0	105	23	0	321	1.20%	0.09%	2.69	0.03%	2.02	896547	5.71%	42497	0.27%	0.00%	9.03%	84.97%	0	0.00%
SRR5687243	genome	Dec 17 14:22:53	Dec 17 14:23:37	Dec 17 14:34:48	79.47	14812253	264	12030753	81.22%	264.04	7329499	7061590	7189874	46386	6761	86478	0.44%	0.01%	1.55	0.02%	1.25	1539142	10.39%	75730	0.51%	0.00%	7.79%	0.08%	0	0.00%
SRR5687243	circRNA	Dec 19 00:19:37	Dec 19 00:19:39	Dec 19 01:11:25	1.44	1242681	249	118583	9.54%	258.90	9354	0	2160	399	46	6749	0.43%	0.02%	2.48	0.03%	2.13	19373	1.56%	734	0.06%	0.00%	88.82%	0.02%	0	0.00%
SRR5687244	rRNA	Dec 14 13:56:12	Dec 14 13:56:12	Dec 14 17:06:09	4.38	13879844	277	10037	0.07%	92.29	395	0	193	31	0	171	2.13%	0.02%	1.53	0.01%	1.27	1293854	9.32%	48123	0.35%	0.00%	3.69%	86.57%	0	0.00%
SRR5687244	genome	Dec 16 09:14:48	Dec 16 09:16:00	Dec 16 09:42:40	28.30	12575964	282	10562836	83.99%	281.67	11349752	11102903	11151900	77270	12532	108050	0.36%	0.01%	1.56	0.01%	1.31	1180820	9.39%	70733	0.56%	0.00%	5.97%	0.09%	0	0.00%
SRR5687244	circRNA	Dec 19 08:03:21	Dec 19 08:03:23	Dec 19 08:29:08	1.94	832717	260	63077	7.57%	254.42	4691	0	977	178	9	3527	0.47%	0.02%	2.51	0.03%	2.03	15844	1.90%	399	0.05%	0.00%	90.43%	0.04%	0	0.00%
SRR5687245	rRNA	Dec 16 10:54:48	Dec 16 10:54:48	Dec 16 14:39:17	3.19	11935748	263	4959	0.04%	108.38	422	0	282	11	0	129	1.98%	0.05%	2.32	0.02%	2.15	1109544	9.30%	35759	0.30%	0.00%	6.03%	84.34%	0	0.00%
SRR5687245	genome	Dec 17 15:29:42	Dec 17 15:30:18	Dec 17 15:44:50	44.67	10821260	270	7794926	72.03%	272.78	7000210	6802712	6858891	46213	6477	88629	0.42%	0.01%	1.58	0.01%	1.32	1495089	13.82%	85081	0.79%	0.00%	13.12%	0.25%	0	0.00%
SRR5687245	circRNA	Dec 19 00:19:41	Dec 19 00:19:44	Dec 19 01:00:48	2.24	1531478	265	49284	3.22%	247.21	3821	0	701	179	18	2923	0.50%	0.03%	2.29	0.03%	1.98	11071	0.72%	695	0.05%	0.00%	95.99%	0.02%	0	0.00%
SRR5687246	rRNA	Dec 14 13:56:08	Dec 14 13:56:08	Dec 14 16:49:30	4.98	14381868	274	2209	0.02%	178.65	663	0	166	29	0	468	0.75%	0.03%	1.28	0.02%	2.29	1244737	8.65%	42126	0.29%	0.00%	5.16%	85.87%	0	0.00%
SRR5687246	genome	Dec 17 14:08:58	Dec 17 14:09:43	Dec 17 14:20:37	72.30	13134952	278	10207579	77.71%	279.15	11525852	11296126	11336458	78647	10757	99990	0.37%	0.01%	1.55	0.01%	1.32	1291887	9.84%	56123	0.43%	0.00%	11.92%	0.11%	0	0.00%
SRR5687246	circRNA	Dec 19 01:35:09	Dec 19 01:35:15	Dec 19 02:20:11	2.18	1635760	263	112456	6.87%	247.24	7212	0	1508	250	37	5417	0.42%	0.02%	2.34	0.02%	1.83	30361	1.86%	391	0.02%	0.00%	91.23%	0.02%	0	0.00%
SRR5712482	rRNA	Dec 14 18:25:50	Dec 14 18:25:50	Dec 14 19:56:54	9.45	14341779	288	714	0.00%	245.56	249	0	111	17	0	121	0.74%	0.07%	1.87	0.05%	2.74	1360575	9.49%	21313	0.15%	0.00%	1.45%	88.91%	0	0.00%
SRR5712482	genome	Dec 16 09:43:12	Dec 16 09:44:09	Dec 16 10:20:25	21.48	12980497	289	10158165	78.26%	286.81	9456752	9218683	9293043	63713	9012	90984	0.34%	0.01%	1.38	0.01%	1.30	972582	7.49%	63354	0.49%	0.00%	13.19%	0.57%	0	0.00%
SRR5712482	circRNA	Dec 19 04:11:13	Dec 19 04:11:15	Dec 19 06:26:34	0.82	1850265	284	78873	4.26%	273.60	6089	0	1034	256	13	4786	0.33%	0.02%	2.13	0.03%	2.12	11919	0.64%	148	0.01%	0.00%	95.08%	0.01%	0	0.00%
SRR5712483	rRNA	Dec 14 15:06:35	Dec 14 15:06:35	Dec 14 16:08:27	14.01	14448545	289	629	0.00%	219.87	296	0	93	10	0	193	0.71%	0.04%	1.39	0.00%	1.33	2025884	14.02%	31754	0.22%	0.00%	1.32%	84.43%	0	0.00%
SRR5712483	genome	Dec 17 14:21:48	Dec 17 14:22:29	Dec 17 14:37:41	49.03	12422042	291	9450155	76.08%	288.16	11790396	11562387	11599961	77886	11345	101204	0.30%	0.01%	1.62	0.01%	1.41	849373	6.84%	35976	0.29%	0.00%	16.51%	0.28%	0	0.00%
SRR5712483	circRNA	Dec 19 00:19:41	Dec 19 00:19:44	Dec 19 01:04:12	2.86	2123067	287	79120	3.73%	273.37	6346	0	1388	88	5	4865	0.36%	0.02%	2.00	0.03%	2.08	13943	0.66%	68	0.00%	0.00%	95.60%	0.01%	0	0.00%
SRR5712484	rRNA	Dec 14 06:56:20	Dec 14 06:56:20	Dec 14 08:59:08	8.76	17937828	289	516	0.00%	176.37	136	0	45	6	0	85	0.89%	0.03%	1.56	0.02%	1.43	369945	2.06%	8381	0.05%	0.00%	1.41%	96.48%	0	0.00%
SRR5712484	genome	Dec 16 03:08:44	Dec 16 03:09:51	Dec 16 03:41:33	33.25	17567367	290	15148411	86.23%	287.01	12828960	12506631	12651273	82041	11740	83906	0.37%	0.01%	1.45	0.01%	1.28	927831	5.28%	30439	0.17%	0.00%	8.17%	0.15%	0	0.00%
SRR5712484	circRNA	Dec 19 00:19:37	Dec 19 00:19:39	Dec 19 01:33:41	1.21	1491799	285	138068	9.26%	279.20	9561	0	2317	415	16	6813	0.32%	0.02%	2.64	0.03%	2.33	19423	1.30%	132	0.01%	0.00%	89.42%	0.02%	0	0.00%
SRR5712485	rRNA	Dec 14 17:01:23	Dec 14 17:01:23	Dec 14 17:51:34	16.09	13457669	290	499	0.00%	218.87	148	0	48	19	0	81	0.69%	0.05%	1.73	0.04%	2.04	559226	4.16%	11224	0.08%	0.00%	0.69%	95.07%	0	0.00%
SRR5712485	genome	Dec 17 13:55:53	Dec 17 13:56:38	Dec 17 14:15:02	42.06	12897947	292	9409871	72.96%	289.36	12670030	12471814	12504399	88324	10044	67263	0.29%	0.01%	1.63	0.01%	1.43	646098	5.01%	44967	0.35%	0.00%	21.19%	0.49%	0	0.00%
SRR5712485	circRNA	Dec 19 02:55:45	Dec 19 02:55:49	Dec 19 04:34:11	1.73	2842577	290	46942	1.65%	278.38	2902	0	405	118	73	2306	0.34%	0.03%	2.28	0.02%	1.96	7973	0.28%	56	0.00%	0.00%	98.06%	0.01%	0	0.00%
SRR5712486	rRNA	Dec 14 13:56:12	Dec 14 13:56:12	Dec 14 15:25:25	8.70	12936260	287	526	0.00%	229.55	217	0	107	11	0	99	0.62%	0.05%	2.29	0.04%	2.65	2043297	15.80%	31108	0.24%	0.00%	1.24%	82.72%	0	0.00%
SRR5712486	genome	Dec 17 15:06:05	Dec 17 15:06:51	Dec 17 15:21:28	44.71	10892448	289	8762597	80.45%	286.20	8491835	8302992	8353487	56734	7743	73871	0.34%	0.01%	1.42	0.01%	1.32	819700	7.53%	50468	0.46%	0.00%	11.05%	0.52%	0	0.00%
SRR5712486	circRNA	Dec 19 00:19:41	Dec 19 00:19:44	Dec 19 02:31:05	0.60	1310522	285	59339	4.53%	277.46	4746	0	1112	143	18	3473	0.35%	0.02%	2.09	0.03%	2.30	10039	0.77%	97	0.01%	0.00%	94.68%	0.01%	0	0.00%
SRR5712487	rRNA	Dec 14 02:57:08	Dec 14 02:57:08	Dec 14 06:58:42	7.00	28199123	289	2524	0.01%	268.20	176	0	34	14	0	128	0.52%	0.08%	1.73	0.07%	2.61	372148	1.32%	11180	0.04%	0.00%	1.53%	97.11%	0	0.00%
SRR5712487	genome	Dec 15 15:49:17	Dec 15 15:50:18	Dec 15 16:32:37	39.45	27824457	290	24198204	86.97%	286.11	18959472	18291703	18683393	120413	17419	138247	0.33%	0.01%	1.59	0.01%	1.30	1533345	5.51%	25804	0.09%	0.00%	7.38%	0.04%	0	0.00%
SRR5712487	circRNA	Dec 19 06:27:17	Dec 19 06:27:18	Dec 19 06:48:28	5.94	2094041	287	228180	10.90%	280.39	17822	0	3786	657	63	13316	0.33%	0.02%	2.61	0.03%	2.36	28624	1.37%	244	0.01%	0.00%	87.70%	0.02%	0	0.00%
SRR5712488	rRNA	Dec 14 03:40:47	Dec 14 03:40:47	Dec 14 07:20:04	6.72	24544544	289	1025	0.00%	239.99	227	0	119	34	0	74	0.78%	0.13%	2.01	0.07%	2.60	1126077	4.59%	19718	0.08%	0.00%	1.33%	93.99%	0	0.00%
SRR5712488	genome	Dec 17 09:42:47	Dec 17 09:44:10	Dec 17 10:10:17	53.80	23417512	291	16438403	70.20%	287.76	19036596	18559136	18656048	131177	15990	233381	0.31%	0.01%	1.60	0.01%	1.36	1633082	6.97%	52509	0.22%	0.00%	22.38%	0.23%	0	0.00%
SRR5712488	circRNA	Dec 19 05:08:38	Dec 19 05:08:46	Dec 19 06:54:56	3.02	5346828	289	108551	2.03%	276.01	8953	0	1810	468	153	6522	0.38%	0.02%	2.46	0.02%	1.75	19891	0.37%	279	0.01%	0.00%	97.58%	0.01%	0	0.00%
SRR5712489	rRNA	Dec 14 05:22:35	Dec 14 05:22:35	Dec 14 09:39:53	5.78	24801120	280	2604	0.01%	221.93	462	0	152	42	0	268	0.62%	0.06%	1.61	0.04%	2.39	2294035	9.25%	50847	0.21%	0.00%	2.51%	88.03%	0	0.00%
SRR5712489	genome	Dec 17 10:07:58	Dec 17 10:08:53	Dec 17 10:40:47	42.33	22504620	286	17142075	76.17%	284.15	19972800	19528922	19620307	138660	16215	197618	0.32%	0.01%	1.66	0.01%	1.36	1694399	7.53%	122972	0.55%	0.00%	15.15%	0.60%	0	0.00%
SRR5712489	circRNA	Dec 19 03:37:53	Dec 19 03:37:55	Dec 19 06:47:10	1.16	3668950	283	126352	3.44%	271.21	11210	0	1985	299	30	8896	0.40%	0.02%	2.56	0.03%	2.35	25826	0.70%	490	0.01%	0.00%	95.82%	0.01%	0	0.00%
SRR5712490	rRNA	Dec 13 22:54:15	Dec 13 22:54:15	Dec 14 05:55:17	3.88	27194835	289	913	0.00%	211.32	404	0	208	33	0	163	0.91%	0.05%	1.61	0.04%	1.37	4176908	15.36%	56771	0.21%	0.00%	0.97%	83.46%	0	0.00%
SRR5712490	genome	Dec 15 23:53:05	Dec 15 23:54:04	Dec 16 01:03:30	19.89	23017027	290	18644747	81.00%	287.38	17297009	16924060	17035453	115058	16304	130194	0.37%	0.01%	1.42	0.01%	1.28	1251569	5.44%	47562	0.21%	0.00%	13.29%	0.06%	0	0.00%
SRR5712490	circRNA	Dec 19 06:54:08	Dec 19 06:54:10	Dec 19 08:02:42	2.73	3121113	289	129430	4.15%	278.67	8851	0	1725	445	19	6662	0.37%	0.03%	2.69	0.02%	1.73	19949	0.64%	211	0.01%	0.00%	95.18%	0.03%	0	0.00%
SRR5712491	rRNA	Dec 13 22:50:33	Dec 13 22:50:33	Dec 14 04:29:52	3.40	19238718	285	1642	0.01%	225.25	148	0	46	8	0	94	0.78%	0.09%	1.77	0.10%	3.46	424551	2.21%	15990	0.08%	0.00%	1.91%	95.79%	0	0.00%
SRR5712491	genome	Dec 17 12:42:43	Dec 17 12:43:27	Dec 17 13:01:32	62.42	18812543	287	15714144	83.53%	283.41	12293927	11901963	12130765	77945	11712	73505	0.37%	0.01%	1.53	0.01%	1.31	1296351	6.89%	55390	0.29%	0.00%	9.07%	0.22%	0	0.00%
SRR5712491	circRNA	Dec 19 06:49:28	Dec 19 06:49:30	Dec 19 07:49:29	1.80	1802833	284	149730	8.31%	278.91	13997	0	2815	548	66	10568	0.35%	0.02%	2.37	0.03%	2.58	18344	1.02%	266	0.01%	0.00%	90.64%	0.02%	0	0.00%
SRR5712492	rRNA	Dec 13 22:50:33	Dec 13 22:50:33	Dec 14 01:24:33	7.14	18318773	286	1007	0.01%	192.25	192	0	91	10	0	91	0.56%	0.04%	2.50	0.01%	1.87	1822573	9.95%	24654	0.13%	0.00%	1.80%	88.11%	0	0.00%
SRR5712492	genome	Dec 16 04:56:18	Dec 16 04:57:25	Dec 16 05:26:48	33.68	16495214	287	12157656	73.70%	285.20	11535267	11274815	11359411	84943	10208	80705	0.31%	0.01%	1.41	0.01%	1.28	988755	5.99%	25302	0.15%	0.00%	20.13%	0.02%	0	0.00%
SRR5712492	circRNA	Dec 19 06:50:34	Dec 19 06:50:36	Dec 19 07:04:04	14.92	3349010	286	103796	3.10%	270.82	8262	0	1678	240	61	6283	0.33%	0.02%	2.33	0.03%	1.98	19276	0.58%	490	0.01%	0.00%	96.30%	0.01%	0	0.00%
SRR5712493	rRNA	Dec 13 22:50:33	Dec 13 22:50:34	Dec 14 04:53:49	3.40	20574440	286	1189	0.01%	229.19	205	0	52	7	0	146	0.55%	0.06%	2.50	0.06%	2.50	978939	4.76%	16739	0.08%	0.00%	1.28%	93.88%	0	0.00%
SRR5712493	genome	Dec 17 11:27:55	Dec 17 11:28:56	Dec 17 11:47:33	63.15	19594318	289	15200355	77.58%	287.05	17908947	17579499	17657960	121891	17555	111541	0.30%	0.01%	1.60	0.01%	1.33	978955	5.00%	34111	0.17%	0.00%	17.22%	0.04%	0	0.00%
SRR5712493	circRNA	Dec 19 06:04:02	Dec 19 06:04:03	Dec 19 06:29:13	8.14	3415243	288	107994	3.16%	276.39	9100	0	1452	401	62	7185	0.35%	0.02%	1.84	0.03%	2.35	21259	0.62%	334	0.01%	0.00%	96.18%	0.02%	0	0.00%
SRR5712494	rRNA	Dec 14 05:11:29	Dec 14 05:11:29	Dec 14 07:10:16	10.34	20465292	290	718	0.00%	238.77	114	0	30	7	0	77	0.47%	0.10%	1.87	0.07%	4.03	624719	3.05%	10272	0.05%	0.00%	0.86%	96.03%	0	0.00%
